id,title,genre,original_language,overview,popularity,release_date,vote_average,vote_count
724089,Gabriel's Inferno: Part II,Romance,en,"Professor Gabriel Emerson finally learns the truth about Julia Mitchell's identity, but his realization comes a moment too late. Julia is done waiting for the well-respected Dante specialist to remember her and wants nothing more to do with him. Can Gabriel win back her heart before she finds love in another's arms?",14.924,2020-07-31,8.5,1420
155,The Dark Knight,"Drama,Action,Crime,Thriller",en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",82.23,2008-07-14,8.5,27925
429,"The Good, the Bad and the Ugly",Western,it,"While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",47.73,1966-12-23,8.5,6747
680,Pulp Fiction,"Thriller,Crime",en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",67.224,1994-09-10,8.5,23481
122,The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action",en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",134.707,2003-12-01,8.5,19844
761053,Gabriel's Inferno: Part III,"Romance,Comedy",en,The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.,47.608,2020-11-19,8.5,977
13,Forrest Gump,"Comedy,Drama,Romance",en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",65.175,1994-06-23,8.5,23009
11216,Cinema Paradiso,"Drama,Romance",it,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",18.677,1988-11-17,8.5,3394
346,Seven Samurai,"Action,Drama",ja,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",27.849,1954-04-26,8.5,2725
769,GoodFellas,"Drama,Crime",en,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",50.387,1990-09-12,8.5,10294
533514,Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",23.933,2020-09-18,8.5,251
637,Life Is Beautiful,"Comedy,Drama",it,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,55.527,1997-12-20,8.5,11179
311,Once Upon a Time in America,"Drama,Crime",en,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",25.789,1984-05-23,8.5,4241
14537,Harakiri,"Action,Drama,History",ja,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",14.472,1962-09-15,8.4,651
539,Psycho,"Horror,Drama,Thriller",en,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",41.575,1960-06-22,8.4,8288
652837,"Josee, the Tiger and the Fish","Animation,Drama,Romance",ja,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",178.195,2020-12-25,8.4,246
